[2021-04-23 08:25:52] No settings files found: C:/Users/Xander/Downloads/mindustry-server/config/settings.bin and C:/Users/Xander/Downloads/mindustry-server/config/settings_backup.bin
[2021-04-23 08:25:54] Saving 2 values; 44 bytes
[2021-04-23 08:26:54] Saving 2 values; 44 bytes
[2021-04-23 08:27:54] Saving 2 values; 44 bytes
[2021-04-23 08:28:54] Saving 2 values; 44 bytes
[2021-04-23 08:29:54] Saving 2 values; 44 bytes
[2021-04-23 08:30:54] Saving 2 values; 44 bytes
[2021-04-23 08:31:54] Saving 2 values; 44 bytes
[2021-04-23 08:32:54] Saving 2 values; 44 bytes
[2021-04-23 08:33:54] Saving 2 values; 44 bytes
[2021-04-23 08:34:54] Saving 2 values; 44 bytes
[2021-04-23 08:35:54] Saving 2 values; 44 bytes
[2021-04-23 08:36:54] Saving 2 values; 44 bytes
[2021-04-23 08:37:54] Saving 2 values; 44 bytes
[2021-04-23 08:38:54] Saving 2 values; 44 bytes
[2021-04-23 08:39:54] Saving 2 values; 44 bytes
[2021-04-23 08:40:54] Saving 2 values; 44 bytes
[2021-04-23 08:41:54] Saving 2 values; 44 bytes
[2021-04-23 08:42:54] Saving 2 values; 44 bytes
[2021-04-23 08:43:54] Saving 2 values; 44 bytes
[2021-04-23 08:44:54] Saving 2 values; 44 bytes
[2021-04-23 08:45:54] Saving 2 values; 44 bytes
[2021-04-23 08:46:54] Saving 2 values; 44 bytes
[2021-04-23 08:47:54] Saving 2 values; 44 bytes
[2021-04-23 08:48:54] Saving 2 values; 44 bytes
[2021-04-23 08:49:54] Saving 2 values; 44 bytes
